document_id,document_name,paper_id,publication_year,study_design,sport_discipline,athlete_level,view_link,design_group,journal,country
,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Kacoglu2017.pdf,2017,crossover trial,Jumping and sprinting,physically active,,crossover,Eur J Hum Mov,Turkey
,Acute effects of psychological relaxation techniques between two physical tasks,Pelka2017.pdf,2017,RCT,Sprinting,competitive,,other_or_unclear,J Sports Sci,Germany
,Repeated Sprint Training in Hypoxia Induced by Voluntary Hypoventilation in Swimming,Trincat2017.pdf,2017,RCT,Swimming,competitive,,other_or_unclear,Int J Sports Physiol Perform,France
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017.pdf,2017,RCT,Swimming,competitive,,other_or_unclear,J Strength Cond Res,USA
,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Woorons2017.pdf,2017,crossover trial,Cycling,competitive,,crossover,Eur J Appl Physiol,France
,Repeated-sprint training in hypoxia induced by voluntary hypoventilation improves running repeated-sprint ability,FornasierSantos2018.pdf,2018,RCT,Rugby,competitive,,other_or_unclear,Eur J Sport Sci,France
,,Gray2018.pdf,2018,other experimental,Swimming,,,other_or_unclear,J Swimming Research,
,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Lim2018.pdf,2018,crossover trial,Cycling,physically active,,crossover,Eur J Appl Physiol,Canada
,Effects of hyperventilation on repeated pedaling sprint performance: short vs. long intervention duration,Sakamoto2018.pdf,2018,crossover trial,Cycling,competitive,,crossover,J Strength Cond Res,Japan
,SaO2 Recovery in Freedivers,Fernandez2019.pdf,2019,observational cross-sectional,Freediving,competitive,,single_group_or_observational,Front Physiol,Spain
,Influence of slow-paced breathing on inhibition after physical exertion,Laborde2019.pdf,2019,crossover trial,Burpees,physically active,,crossover,Front Psychol,Germany
,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Woorons2019.pdf,2019,crossover trial,Shuttle run sprints,competitive,,crossover,Int J Sports Med,France
,Physiological adaptations to repeated sprint training in hypoxia induced by voluntary hypoventilation,Woorons2019b.pdf,2019,RCT,Cycling,competitive,,other_or_unclear,Eur J Appl Physiol,France
,Acute Apnea Does Not Improve 3-km Cycling Time Trial Performance,Bouten2020.pdf,2020,crossover trial,Cycling,physically active,,crossover,Med Sci Sports Exerc,Belgium
,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Lapointe2020.pdf,2020,RCT,Basketball,competitive,,other_or_unclear,Front Sports Act Living,Canada
,Effects of pre-race apneas on 400-m freestyle swimming performance,Robertson2020.pdf,2020,crossover trial,Swimming,competitive,,crossover,J Strength Cond Res,UK
,Hyperventilation-aided recovery for extra repetitions on bench press and leg press,Sakamoto2020.pdf,2020,crossover trial,"Bench press, leg press",competitive,,crossover,J Strength Cond Res,Japan
,Transferable benefits of cycle hypoventilation training for run-based performance in team-sport athletes,Woorons2020.pdf,2020,,,,,unclear,Int J Sports Physiol Perform,
,Impact of a Breathing Intervention on Engagement...,Bahensky2021.pdf,2021,RCT,,,,other_or_unclear,J. Clin. Med.,Czech Republic
,Wim Hof breathing method...,Citherlet2021.pdf,2021,crossover trial,Repeated sprinting,competitive,,crossover,Frontiers in Sports and Active Living,Switzerland
,Voluntary hypocapnic hyperventilation lasting 5 min and 20 min similarly reduce aerobic metabolism,Dobashi2021.pdf,2021,crossover trial,Cycling (Wingate),competitive,,crossover,Eur J Sport Sci,Japan
,Frontiers in Physiology,Grossman2021.pdf,2021,crossover trial,Cycling,physically active,,crossover,Front Physiol,Canada
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021.pdf,2021,crossover trial,Memory-guided force pulse,healthy non-athlete,,crossover,Human Movement Science,USA
,,Vaidya2021.pdf,2021,,,,,unclear,,
,Effects of a 5-week off-ice repeated-sprint training with voluntary hypoventilation...,Brocherie2022.pdf,2022,RCT,Ice hockey,elite,,other_or_unclear,Int J Sports Sci Coach,Switzerland/France
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022.pdf,2022,RCT,Shooting,competitive,,other_or_unclear,,UK
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022.pdf,2022,before-after study,Cycling,physically active,,before_after,J. Clin. Med.,Czech Republic
,Single slow-paced Breathing Session at six cycles per minute,You2023.pdf,2023,crossover trial,,physically active,,crossover,Applied Psychophysiology and Biofeedback,Germany/France/China
,Effects of a 6-Week Repeated-Sprint Training With Voluntary Hypoventilation,Braham2024.pdf,2024,RCT,Soccer,competitive,,other_or_unclear,IJSPP,France
,The Effects of Slow Breathing during Inter-Set Recovery on Power Performance in the Barbell Back Squat,Buxton2024.pdf,2024,crossover trial,Back Squat,recreationally trained,,crossover,J Hum Kinet,USA
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress...,Li2024.pdf,2024,crossover trial,Burpees,physically active,,crossover,Healthcare,China
,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers' Subjective Performance,Merlin2024.pdf,2024,RCT,Swimming,elite,,other_or_unclear,J Funct Morphol Kinesiol,France
,VHL during arm cycle ergometer,Rosa2024.pdf,2024,crossover trial,Arm cycle ergometer,,,crossover,,Portugal
,Differences between diaphragmatic and abdominal breathing patterns in spirometric...,Sikora2024.pdf,2024,observational cross-sectional,,competitive,,single_group_or_observational,Sci Rep,Poland
,Hypoventilation training including maximal end-expiratory breath holding improves...,Woorons2024.pdf,2024,RCT,"Judo, Rowing",elite,,other_or_unclear,Front Physiol,France
,The effect of breathing strategy on lifted load during the bench press,Deniz2025.pdf,2025,crossover trial,Bench press,recreationally trained,,crossover,BMC Sports Science,Turkey
,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive,Fernandez2025.pdf,2025,crossover trial,Freediving,competitive,,crossover,Sports,Spain
,Pre-exercise hyperventilation does not improve performance...,Fesseler2025.pdf,2025,crossover trial,Sprint intervals,recreationally trained,,crossover,,Germany
,Wim Hof Method,Fox2025.pdf,2025,RCT,General,physically active,,other_or_unclear,Sci Rep,Australia
,Box breathing or six breaths per minute: Which strategy improves athletes post-HIIT cardiovascular recovery?,Kasap2025.pdf,2025,crossover trial,HIIT,competitive,,crossover,PLoS One,Turkey
,Effects of apnoea versus normal breathing on physiological responses during HIIT,Liapaki2025.pdf,2025,crossover trial,Running,competitive,,crossover,J Hum Kinet,Greece
,Additional Benefits of Repeated-Sprint Training With Prolonged End-Expiratory Breath Holding,Lorinczi2025.pdf,2025,RCT,Soccer,competitive,,other_or_unclear,IJSPP,France
,Evaluating bioenergetic pathway contributions...,Yilmaz2025.pdf,2025,other experimental,Wingate,physically active,,other_or_unclear,Sci Rep,Turkey
,Exploring the influence of coherent breathing on psychophysiological stress,Chiron2026.pdf,2026,RCT,Running,elite,,other_or_unclear,J Strength Cond Res,France
,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama,Devipriya2026.pdf,2026,before-after study,,healthy non-athlete,,before_after,Cureus,India
,Slow paced breathing and power posing: a pre-competitive ritual,FernandezBarradas2026.pdf,2026,before-after study,American football,competitive,,before_after,Front Sports Act Living,Mexico
,Fast-paced breathing,Iskra2026.pdf,2026,crossover trial,,physically active,,crossover,Psychophysiology,Germany
,Effects of underwater breath-holding training,Jing2026.pdf,2026,RCT,Swimming,competitive,,other_or_unclear,J Sports Med Phys Fitness,China
,Box Breathing vs Cyclic Sighing,Jones2026.pdf,2026,RCT,Rowing,physically active,,other_or_unclear,Med Sci Sports Exerc,USA
,Responder Analysis,Katz2026.pdf,2026,other experimental,Deadlift,physically active,,other_or_unclear,,USA
,No Evidence for the Efficacy of Slow-Paced Breathing as a Recovery Strategy,Raidl2026.pdf,2026,RCT,Sprint interval training,competitive,,other_or_unclear,IJSPP,Austria
,Effects of Breathing Intervention on HIIT,Tomita2026.pdf,2026,crossover trial,HIIT,physically active,,crossover,,Japan
