paper_id,row_type,efficacy_source,year,first_author,design,country,journal,title_short,sport,sport_category,athlete_level,n_total,age_mean,age_sd,sex_male_pct,bt_classification,comparator,arm_structure,outcome_domain,outcome_metric,timepoint,lower_is_better,ig_n,ig_mean,ig_sd,cg_n,cg_mean,cg_sd,dispersion_note,complete_for_smd,n_allocated_ig,n_allocated_cg,dropout_n_ig,dropout_n_cg,adherence_rate_ig,adherence_rate_cg,completion_note,feasibility_source_quote,any_ae_reported,overall_ae_n,overall_ae_total,serious_ae_n,ae_description,safety_source_quote,any_ae_n_ig,any_ae_total_ig,any_ae_n_cg,any_ae_total_cg,ae_type,ae_n_ig,ae_n_cg,arm_safety_source_quote,source_row,intervention_bt_classification,intervention_breathing_category,intervention_comparator,intervention_arm_structure,intervention_timing,intervention_total_duration,publication_year_num,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,n_allocated_ig_num,n_allocated_cg_num,dropout_n_ig_num,dropout_n_cg_num,adherence_ig_prop,adherence_cg_prop,bt_category,design_group,dose_duration_days_num,male_n,female_n,outcome_index
Lim2018,efficacy_outcome,additional,2018,Lim,Crossover,Canada,Eur J Appl Physiol,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Cycling,cycling,recreational,10,24,3,100,breath holding (CONT-BH),free-breathing (CONT),crossover,physiological,VCO2p,post-exercise,FALSE,10,2.29,0.64,10,2.30,0.55,,True,10,10,,,,,,,unclear,,,,,,,,,,,,,,26,breath holding,breath holding/apnea,free-breathing,crossover,during exercise,,2018,10,24,3,1,10,2.29,0.64,10,2.3,0.55,10,10,,,,,breath_holding,crossover,,10,0,26
Sakamoto2018,efficacy_outcome,additional,2018,Sakamoto,Crossover,Japan,J Strength Cond Res,Effects of hyperventilation on repeated pedaling sprint performance,Cycling,cycling,competitive,17,,,88,hyperventilation short (HVshort),control,crossover,physiological,VE,during exercise,FALSE,15,153.1,27.0,15,73.6,16.6,,True,17,17,,,,,2 dropouts due to transducer error.,2 subjects were excluded from the data set because of a transducer error.,unclear,,,,,,,,,,,,,,28,hyperventilation,hyperventilation,control,crossover,acute pre-exercise,,2018,17,,,0.88,15,153.1,27,15,73.6,16.6,17,17,,,,,hyperventilation,crossover,,14.96,2.04,28
Fernandez2019,metadata_only,none,2019,Fernandez,Observational,Spain,Front Physiol,SaO2 Recovery in Freedivers,Freediving,freediving,competitive,25,,,100,breath holding,fast recovery,observational,,,,,,,,,,,,False,25,,,,,,,,unclear,,,,,,,,,,,,,,30,breath holding,breath holding/apnea,fast recovery,observational,post-exercise/recovery,,2019,25,,,1,,,,,,,25,,,,,,breath_holding,single_group_or_observational,,25,0,30
Laborde2019,efficacy_outcome,additional,2019,Laborde,Crossover,Germany,Front Psychol,Influence of slow-paced breathing on inhibition after physical exertion,Burpees,non-sport exercise/performance,healthy active,120,25.57,2.52,58,slow-paced breathing,watching TV documentary,crossover,cognitive,Stroop errors,post-intervention,TRUE,60,0.50,0.70,60,0.81,0.86,,True,60,60,,,,,ECG data lost for 13 participants in Exp 2.,"Due to technical problems, the ECG data of the last 13 participants of Experiment 2 were lost",unclear,,,,,,,,,,,,,,31,slow-paced breathing,paced breathing,active control,crossover,post-exercise/recovery,,2019,120,25.57,2.52,0.58,60,0.5,0.7,60,0.81,0.86,60,60,,,,,paced_breathing,crossover,,69.6,50.400000000000006,31
Woorons2019,efficacy_outcome,additional,2019,Woorons,Crossover,France,Int J Sports Med,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Shuttle run sprints,running,competitive,10,,,,hypoventilation,normal breathing,crossover,physiological,PETO2,during exercise,FALSE,10,109.9,3.6,10,114.6,3.6,,True,10,10,,,,,,,unclear,,,,,,,,,,,,,,33,hypoventilation,hypoventilation,normal breathing,crossover,during exercise,,2019,10,,,,10,109.9,3.6,10,114.6,3.6,10,10,,,,,hypoventilation,crossover,,,,33
Woorons2019b,efficacy_outcome,additional,2019,Woorons,RCT,France,Eur J Appl Physiol,Physiological adaptations to repeated sprint training in hypoxia,Cycling,cycling,competitive,18,34.6,11,100,hypoventilation (RSH-VHL),normal breathing (RSN),parallel,performance,RSA Sdec,post-training,FALSE,9,-8.2,7,9,-12.0,9,,True,9,9,,,,,,,unclear,,,,,,,,,,,,,,35,hypoventilation (RSH-VHL),hypoventilation,normal breathing,parallel,training intervention,3 weeks,2019,18,34.6,11,1,9,-8.2,7,9,-12,9,9,9,,,,,hypoventilation,parallel_or_controlled_trial,21,18,0,35
Bouten2020,metadata_only,none,2020,Bouten,Crossover,Belgium,Med Sci Sports Exerc,Acute Apnea Does Not Improve 3-km Cycling Time Trial Performance,Cycling,cycling,competitive,11,22.1,1.5,,breath holding/apnea,placebo/control,crossover,,,,,,,,,,,,False,11,11,,,,,,,unclear,,,,,,,,,,,,,,37,breath holding/apnea,breath holding/apnea,placebo/control,crossover,acute pre-exercise,,2020,11,22.1,1.5,,,,,,,,11,11,,,,,breath_holding,crossover,,,,37
Lapointe2020,efficacy_outcome,additional,2020,Lapointe,RCT,Canada,Front Sports Act Living,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Basketball,team sports,competitive,17,22.3,1.2,71,hypoventilation (VHL),normal breathing (CTL),parallel,performance,VIFT,post-training,FALSE,7,18.78,1.68,6,18.63,1.75,,True,9,8,2,2,,,,,yes,1,17,,unrelated injury,1 due to unrelated injury,,,,,,,,,38,hypoventilation (VHL),hypoventilation,normal breathing,parallel,training intervention,4 weeks,2020,17,22.3,1.2,0.71,7,18.78,1.68,6,18.63,1.75,9,8,2,2,,,hypoventilation,parallel_or_controlled_trial,28,12.07,4.930000000000001,38
Robertson2020,efficacy_outcome,additional,2020,Robertson,Crossover,UK,J Strength Cond Res,Effects of pre-race apneas on 400-m freestyle swimming performance,Swimming,swimming,competitive,9,19,1.5,67,pre-race apneas (WUAP),control (CON),crossover,physiological,Blood lactate,post-time-trial,TRUE,10,9.52,2.12,10,9.84,3.67,,True,10,10,,,,,,,unclear,,,,,,,,,,,,,,40,pre-race apneas,breath holding/apnea,control,crossover,acute pre-exercise,,2020,9,19,1.5,0.67,10,9.52,2.12,10,9.84,3.67,10,10,,,,,breath_holding,crossover,,6.03,2.9699999999999998,40
Sakamoto2020,metadata_only,none,2020,Sakamoto,Crossover,Japan,J Strength Cond Res,Hyperventilation-aided recovery for extra repetitions on bench press and leg press,"Bench press, leg press",resistance/strength,competitive,11,22.5,4.3,100,hyperventilation,spontaneous breathing,crossover,,,,,,,,,,,,False,11,11,,,,,,,no,0,11,0,,"No subjects reported discomfort sensations related to HV (dizziness, paresthesia, or discomfort in the chest) during the experiment.",0,11,0,11,,0,0,"No subjects reported discomfort sensations related to HV (dizziness, paresthesia, or discomfort in the chest) during the experiment.",42,hyperventilation,hyperventilation,spontaneous breathing,crossover,post-exercise/recovery,,2020,11,22.5,4.3,1,,,,,,,11,11,,,,,hyperventilation,crossover,,11,0,42
