paper_id,document_name,outcome_index,outcome_metric,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,effect_estimate,bt_classification,bt_category,outcome_lower,direction_multiplier,analysis_cluster,complete_for_smd,yi,vi,hedges_g_raw,variance_raw,hedges_g_normalized,variance_normalized,dispersion_assumption
Deniz2025,,35,Completed Sets,12,23.830000000000002,0.58,12,23.5,1,,Valsalva,breath_holding,completed sets,1,,TRUE,0.38975418528462363,0.17041575785119917,0.38975418528462363,0.17041575785119917,0.38975418528462363,0.17041575785119917,IG_Dispersion and CG_Dispersion treated as SD
Deniz2025,,36,Training Volume,12,2437.92,361.38,12,2410.42,395.06,,Valsalva,breath_holding,training volume,1,,TRUE,0.07012748053846767,0.16678803933535372,0.07012748053846767,0.16678803933535372,0.07012748053846767,0.16678803933535372,IG_Dispersion and CG_Dispersion treated as SD
Deniz2025,,37,RPE Score,12,5.96,2.21,12,7.14,1.51,,Valsalva,breath_holding,rpe score,-1,,TRUE,-0.6019261867538936,0.17560858921437525,-0.6019261867538936,0.17560858921437525,0.6019261867538936,0.17560858921437525,IG_Dispersion and CG_Dispersion treated as SD
Fernandez2025,,38,SpO2 at 30s,13,96,4.3,13,93,8.9,5.08,Other,other_unclear,spo2 at 30s,1,,TRUE,0.4156503586401829,0.15772703466810398,0.4156503586401829,0.15772703466810398,0.4156503586401829,0.15772703466810398,IG_Dispersion and CG_Dispersion treated as SD
Fesseler2025,,39,Cumulative Elevation Gain,36,83.24000000000001,27.57,36,84.31,26,,Hyperventilation,hyperventilation,cumulative elevation gain,1,,TRUE,-0.03950096843183165,0.05556698605726956,-0.03950096843183165,0.05556698605726956,-0.03950096843183165,0.05556698605726956,IG_Dispersion and CG_Dispersion treated as SD
Fesseler2025,,40,Sprint 1 Lactate,36,12.75,3,36,12.05,3.22,,Hyperventilation,hyperventilation,sprint 1 lactate,-1,,TRUE,0.22251957137470685,0.055918287860961355,0.22251957137470685,0.055918287860961355,-0.22251957137470685,0.055918287860961355,IG_Dispersion and CG_Dispersion treated as SD
Kasap2025,,42,Final Heart Rate,40,164.65,9.4,40,159.05,10.38,,Paced Breathing,paced_breathing,final heart rate,-1,paced_breathing_reaction,TRUE,0.5600765760607769,0.05205688933490465,0.5600765760607769,0.05205688933490465,-0.5600765760607769,0.05205688933490465,IG_Dispersion and CG_Dispersion treated as SD
Kasap2025,,43,Perceived Exertion Borg,40,17.27,1.3,40,15.25,1.35,,Paced Breathing,paced_breathing,perceived exertion borg,1,,TRUE,1.5095456627377968,0.06494199601897455,1.5095456627377968,0.06494199601897455,1.5095456627377968,0.06494199601897455,IG_Dispersion and CG_Dispersion treated as SD
Yilmaz2025,,44,Relative Peak Power,17,12.7,1.55,17,11.9,1.05,,Hyperventilation,hyperventilation,relative peak power,1,hyperventilation_power,TRUE,0.5900177311884766,0.12339993629125492,0.5900177311884766,0.12339993629125492,0.5900177311884766,0.12339993629125492,IG_Dispersion and CG_Dispersion treated as SD
Yilmaz2025,,45,Relative Mean Power,17,9,0.65,17,8.6,0.6699999999999999,,Hyperventilation,hyperventilation,relative mean power,1,hyperventilation_power,TRUE,0.591657400293354,0.12343195540500118,0.591657400293354,0.12343195540500118,0.591657400293354,0.12343195540500118,IG_Dispersion and CG_Dispersion treated as SD
Yilmaz2025,,46,ATP-PCr Pct,17,38.9,5.5,17,38.3,4.2,,Hyperventilation,hyperventilation,atp-pcr pct,1,,TRUE,0.11971482065846523,0.11788389652414463,0.11971482065846523,0.11788389652414463,0.11971482065846523,0.11788389652414463,IG_Dispersion and CG_Dispersion treated as SD
Chiron2026,,47,400m Performance Time,11,54.42,6.6499999999999995,11,55.57,4.34,,Paced Breathing,paced_breathing,400m performance time,-1,,TRUE,-0.19701188613142767,0.18288096552802002,-0.19701188613142767,0.18288096552802002,0.19701188613142767,0.18288096552802002,IG_Dispersion and CG_Dispersion treated as SD
Chiron2026,,48,Morning Cortisol D6,11,0.33199999999999996,0.135,11,0.24900000000000003,0.12200000000000001,,Paced Breathing,paced_breathing,morning cortisol d6,1,,TRUE,0.6205404401320639,0.19236205588327762,0.6205404401320639,0.19236205588327762,0.6205404401320639,0.19236205588327762,IG_Dispersion and CG_Dispersion treated as SD
Devipriya2026,,49,Auditory Reaction Time Right Hand,60,168.73,16.279999999999998,60,186.42000000000002,18.35,,Yoga/Pranayama,pranayama_yogic,auditory reaction time right hand,-1,,TRUE,-1.013339115001389,0.03774985757171294,-1.013339115001389,0.03774985757171294,1.013339115001389,0.03774985757171294,IG_Dispersion and CG_Dispersion treated as SD
FernandezBarradas2026,,50,Cognitive Anxiety,34,12.76,3.27,34,14.82,4.970000000000001,,Paced Breathing,paced_breathing,cognitive anxiety,-1,,TRUE,-0.4840977175254368,0.060647186353921856,-0.4840977175254368,0.060647186353921856,0.4840977175254368,0.060647186353921856,IG_Dispersion and CG_Dispersion treated as SD
FernandezBarradas2026,,51,Somatic Anxiety,34,11.76,5.46,34,12.850000000000001,4.99,,Paced Breathing,paced_breathing,somatic anxiety,-1,,TRUE,-0.20602304614226424,0.05915382949450635,-0.20602304614226424,0.05915382949450635,0.20602304614226424,0.05915382949450635,IG_Dispersion and CG_Dispersion treated as SD
Iskra2026,,52,RMSSD,38,24.24,8.28,38,39.39,18.55,,Paced Breathing,paced_breathing,rmssd,1,,TRUE,-1.043973024571105,0.060173727051910014,-1.043973024571105,0.060173727051910014,-1.043973024571105,0.060173727051910014,IG_Dispersion and CG_Dispersion treated as SD
Katz2026,,57,Deadlift 1RM,40,163.6,47.1,40,160.7,49.6,,Other,other_unclear,deadlift 1rm,1,,TRUE,0.059380586628076354,0.05002312091805456,0.059380586628076354,0.05002312091805456,0.059380586628076354,0.05002312091805456,IG_Dispersion and CG_Dispersion treated as SD
Tomita2026,,59,Delta STAI State,26,-2,9.5,26,-2,11,,Paced Breathing,paced_breathing,delta stai state,1,,TRUE,0,0.07692307692307693,0,0.07692307692307693,0,0.07692307692307693,IG_Dispersion and CG_Dispersion treated as SD
Tomita2026,,60,Mean Power,26,153.3,13.5,26,153,14.7,,Paced Breathing,paced_breathing,mean power,1,,TRUE,0.020936626063546074,0.07692761896287648,0.020936626063546074,0.07692761896287648,0.020936626063546074,0.07692761896287648,IG_Dispersion and CG_Dispersion treated as SD
Tomita2026,,61,Fatigue Index,26,86.5,15.2,26,86.8,11.6,,Paced Breathing,paced_breathing,fatigue index,-1,,TRUE,-0.021853981063660436,0.07692802570900076,-0.021853981063660436,0.07692802570900076,0.021853981063660436,0.07692802570900076,IG_Dispersion and CG_Dispersion treated as SD
